carrec,r2013,dieta,dietes,retribucio,total,nom,dept,detalls,naut,danual,column,column2,carrec2
Consell de la Xarxa d’Abastament Ter-Llobregat | President (Director de l'ACA),4,400,"€1,600.00",,"€1,600.00","Agustí Vergés, Jordi",PO,,400,1600,,,President (Director de l'ACA)
| Cap Oficina de la Secretaria,,,,"€49,535.87","€49,535.87","Alabart Abós, Mireia",SA,2013,,,,,Cap Oficina de la Secretaria
"Consell d’Administració de Terminal Intermodal de l’Empordà, SL (TIE) | Vocal (Cap de Planificació Financera i Control del Port de Barcelona)",4,251.52,"€1,006.08",,"€1,006.08","Alaminos Rodriguez, Miriam",PO,,251.52,1006.08,,,Vocal (Cap de Planificació Financera i Control del Port de Barcelona)
Junta Arbitral del Transport de Catalunya. Barcelona | Vocal Representant de les empreses de transports de viatgers,20,64.91,"€1,298.20",,"€1,298.20","Alapont Sisquella, Salvador",PO,,64.91,1298.2,,,Vocal Representant de les empreses de transports de viatgers
Memorial Democràtic - Consell Assessor | Membre,2,251.52,€503.04,,€503.04,"Albareda Salvadó, Joaquim",GO,,251.52,503.04,,,Membre
Comissió Territorial d’Urbanisme de Tarragona. Ponència Tècnica | Vocal Col·legi d’Advocats de Tarragona,8,64.91,€519.28,,€519.28,"Albiac Cruxent, Manel",PO,64.91,No autoritza publicació,519.28,,,Vocal Col·legi d’Advocats de Tarragona
| Secretari/ària d'Afers Exteriors i de La Unió Europea,,,,"€79,651.66","€79,651.66","Albinyana Saigi, Roger",PR,2014,,,,,Secretari/ària d'Afers Exteriors i de La Unió Europea
Jurat Expr Terres de l'Ebre | Secretari,8,162,"€1,296.00",,"€1,296.00","Albiol Fraile, Josep",GO,,162,1296,,,Secretari
| Director Museu d'Hístòría de Catalunya,,,,"€64,149.54","€64,149.54","Alcoberro Pericay, Agustí",CU,2014,,,,,Director Museu d'Hístòría de Catalunya
Comissió Territorial d’Urbanisme de Girona. Ponència Tècnica | Coordinador Comarcal de l’Alt Empordà,8,64.91,€519.28,,€519.28,"Alegrí Sabater, Victor",PO,,64.91,519.28,,,Coordinador Comarcal de l’Alt Empordà
Comissió Directora ICQP | Membre,2,37.86,€75.72,,€75.72,"Algueró Galceran, Josep",EN,,37.86,75.72,,,Membre
Consell Català de I'FP | Titular,12,37.86,€454.32,,€454.32,"Algueró Galceran, Josep",EN,,37.86,454.32,,,Titular
Comissió Territorial d’Urbanisme de la Vall d’Aran | Vocal Delegat Territorial del Govern de la Generalitat  a l’Alt Pirineu i Aran. Departament de la Presidència,4,64.91,€259.64,,€259.64,"Alins Abad, Albert",PO,,64.91,259.64,,,Vocal Delegat Territorial del Govern de la Generalitat  a l’Alt Pirineu i Aran. Departament de la Presidència
Comissió Territorial d’Urbanisme de Lleida | Vocal Delegat Territorial del Govern de la Generalitat  a l’Alt Pirineu i Aran. Departament de la Presidència,8,64.91,€519.28,,€519.28,"Alins Abad, Albert",PO,,64.91,519.28,,,Vocal Delegat Territorial del Govern de la Generalitat  a l’Alt Pirineu i Aran. Departament de la Presidència
Comissió de Cooperació Local de Catalunya | Vocals titulars Generalitat,3,37.86,€113.58,,€113.58,"Alins Abad, Albert",GO,,37.86,113.58,,,Vocals titulars Generalitat
| Delegat/ada Territorial Del Govern de La Gtat. A L'alt Pirineu i Aran,,,,"€76,270.38","€76,270.38","Alins Abad, Albert",PR,2014,,,,,Delegat/ada Territorial Del Govern de La Gtat. A L'alt Pirineu i Aran
| Oficina de Comunicació,,,,"€60,243.06","€60,243.06","Aloma Masana, Montserrat",AG,2013,,,,,Oficina de Comunicació
Comissió Territorial d’Urbanisme de Terres de l’Ebre. Ponència Tècnica | Vocal Responsable de Protecció Civil de la Secretaria General del Departament d’Interior,5,64.91,€324.55,,€324.55,"Alonso Cruelles, Miquel",PO,64.91,No autoritza publicació,324.55,,,Vocal Responsable de Protecció Civil de la Secretaria General del Departament d’Interior
Comissió de Cooperació Local de Catalunya | Vocals suplents Generalitat,3,37.86,€113.58,,€113.58,"Alsina Català, Claudi",GO,,37.86,113.58,,,Vocals suplents Generalitat
| Secretari general del Consell Interuniversitari de Catalunya,,,,"€76,270.38","€76,270.38","Alsina Català, Claudi",EC,2014,,,,,Secretari general del Consell Interuniversitari de Catalunya
Comissió de Cooperació Local de Catalunya | Vocals suplents Generalitat,3,37.86,€113.58,,€113.58,"Alsinet Bemadó, Divina",GO,,Pendent autorització,113.58,,,Vocals suplents Generalitat
Consell Rector Escola d'Administració Pública de Catalunya | Vocal,2,94.66,€189.32,,€189.32,"Altarriba Mercader, Xavier",GO,,94.66,189.32,,,Vocal
Consell Assessor de RTVE a Catalunya | Vocal,23,221.77,"€5,100.71",,"€5,100.71","Altayo Morral, Josep",PR,,221.77,5100.71,,,Vocal
"Institut Català de Finances, Junta de Govern | Vocal",11,540.9,"€5,949.90",,"€5,949.90","Àlvarez Santiago, Anna",EC,,540.9,5949.9,,,Vocal
"Institut Català de Finances, Comissió de Finançament Agroalimentari | Vocal",9,379,"€3,411.00",,"€3,411.00","Àlvarez Santiago, Anna",EC,,379,3411,,,Vocal
"Institut Català de Finances, Comissió d’Inversions en Capital | Vocal i secretària",11,379,"€4,169.00",,"€4,169.00","Àlvarez Santiago, Anna",EC,,379,4169,,,Vocal i secretària
"Institut Català de Finances, Comissió Executiva | Vocal",11,270.45,"€2,974.95",,"€2,974.95","Àlvarez Santiago, Anna",EC,,270.45,2974.95,,,Vocal
Consell d'Administració Institut Català de les Empreses Culturals | Directora d'inversions de l'ICF (Institut Català de Finances),6,162,€972.00,,€972.00,"Àlvarez Santiago, Anna",CU,ICF,162,972,,,Directora d'inversions de l'ICF (Institut Català de Finances)
Consell General Institut Català de les Empreses Culturals | Vocal Dept competent en matèria economia,2,162,€324.00,,€324.00,"Àlvarez Santiago, Anna",CU,,162,324,,,Vocal Dept competent en matèria economia
Comissió Territorial d’Urbanisme de Barcelona | Vocal Alcalde de l’Ajuntament de Pallejà,8,64.91,€519.28,,€519.28,"Àlvarez Serrano, Ismael",PO,,64.91,519.28,,,Vocal Alcalde de l’Ajuntament de Pallejà
Autoritat Catalana de Protecció de dades - Consell Assessor | President,4,64.91,€259.64,,€259.64,Amat Girbau. Josep,GO,,Pendent autorització,259.64,,,President
Jurat Expropiació Barcelona | Vocals suplents,28,108,"€3,024.00",,"€3,024.00","Amigo Palès, Josep Antoni",GO,,Pendent autorització,3024,,,Vocals suplents
Consell d’Administració de l’Agencia Catalana de l’Aigua | Vocal (Representant de la Federació de Municipis de Catalunya),4,551.72,"€2,206.88",,"€2,206.88","Amor Martin, Xavier",PO,,551.72,2206.88,,,Vocal (Representant de la Federació de Municipis de Catalunya)
Comissió de Govern local de Catalunya | Vocals,8,48.68,€389.44,,€389.44,"Amor Martin, Xavier",GO,,Pendent autorització,389.44,,,Vocals
Comissió de Cooperació Local de Catalunya | Vocals suplents Adm. Locals,3,37.86,€113.58,,€113.58,"Amor Martin, Xavier",GO,,Pendent autorització,113.58,,,Vocals suplents Adm. Locals
Comissió Territorial d’Urbanisme de Terres de l’Ebre | Vocal Federació de Municipis de Catalunya. Ajuntament de l’Aldea,5,64.91,€324.55,,€324.55,"Andreu Falcó, Daniel",PO,"Federacio Catalana Municipis64,91",No autoritza publicació,324.55,,,Vocal Federació de Municipis de Catalunya. Ajuntament de l’Aldea
Jurat Expropiació Barcelona | Vocals suplents,28,108,"€3,024.00",,"€3,024.00","Andreu Massana, Maria Teresa",GO,,Pendent autorització,3024,,,Vocals suplents
| Gabinet Del/de La Conseller/a,,,,"€68,746.49","€68,746.49","Angerri Castells, Ignasi",JU,2013,,,,,Gabinet Del/de La Conseller/a
Comissió Territorial d’Urbanisme de Tarragona. Ponència Tècnica | Tècnic assessor Servei Territorial d’Urbanisme de Tarragona del Departament de Territori i Sostenibilitat,8,64.91,€519.28,,€519.28,"Anglès Bru, Meritxell",PO,,64.91,519.28,,,Tècnic assessor Servei Territorial d’Urbanisme de Tarragona del Departament de Territori i Sostenibilitat
Jurat Exproptació Barcelona | Vocals titulars,28,108,"€3,024.00",,"€3,024.00","Angles Sedo, Joan",GO,,108,3024,,,Vocals titulars
Jurat Expropiació Tarragona | Vocals titulars,10,108,"€1,080.00",,"€1,080.00","Angles Sedo, Joan",GO,,108,1080,,,Vocals titulars
Consell d'Administració d'Aeroports Públics de Catalunya | Vocal (Responsable d'Estudi i Anàlisi Jurídica de la Direcció General de Transports i Mobilitat del Departament de Territori i Sostenibilitat),7,251,"€1,757.00",,"€1,757.00","Angosto Poza, Lluís",PO,,251,1757,,,Vocal (Responsable d'Estudi i Anàlisi Jurídica de la Direcció General de Transports i Mobilitat del Departament de Territori i Sostenibilitat)
Consell Assessor de Ports de la Generalitat | Vocal (Responsable d'Estudi i Anàlisi Jurídica de la Direcció General de Transports i Mobilitat del Departament de Territori i Sostenibilitat),3,167.68,€503.04,,€503.04,"Angosto Poza, Lluís",PO,,167.68,503.04,,,Vocal (Responsable d'Estudi i Anàlisi Jurídica de la Direcció General de Transports i Mobilitat del Departament de Territori i Sostenibilitat)
Comitè Executiu de Ports de la Generalitat | Vocal (Responsable d'Estudi i Anàlisi Jurídica de la Direcció General de Transports i Mobilitat del Departament de Territori i Sostenibilitat),9,135,"€1,215.00",,"€1,215.00","Angosto Poza, Lluís",PO,,135,1215,,,Vocal (Responsable d'Estudi i Anàlisi Jurídica de la Direcció General de Transports i Mobilitat del Departament de Territori i Sostenibilitat)
Junta Arbitral del Transport de Catalunya. Barcelona | Presidenta (Direcció General de Transports i Mobilitat del Departament de Territori i Sostenibilitat),45,64.91,"€2,920.95",,"€2,920.95","Anguera Utrera, Núria",PO,,64.91,2920.95,,,Presidenta (Direcció General de Transports i Mobilitat del Departament de Territori i Sostenibilitat)
Junta de Finances  | Vocal (Sala 1 i Ple),24,157.5,"€3,780.00",,"€3,780.00","Añoza Sala, Ramon",EC,,157.5,3780,,,Vocal (Sala 1 i Ple)
"Comissió Territorial d’Urbanisme de Tarragona. Ponència Tècnica | Vocal de lliure designació, amb veu i sense vot Director de la Escola Universitària de Turisme i Oci. Universitat Rovira i Virgili",8,0,€0.00,,€0.00,"Anton Clavé, Salvador",PO,64.91,RENUNCIA A LA DIETA,0,,,"Vocal de lliure designació, amb veu i sense vot Director de la Escola Universitària de Turisme i Oci. Universitat Rovira i Virgili"
"Comissió Territorial d’Urbanisme de Barcelona. Ponència Tècnica | Vocal Col·legi d’Enginyers de Camins, Canals i Ports",8,64.91,€519.28,,€519.28,"Arandes Renu, Ramon",PO,,64.91,519.28,,,"Vocal Col·legi d’Enginyers de Camins, Canals i Ports"
Jurat Expr Terres de l'Ebre | Vocals suplents,8,108,€864.00,,€864.00,"Arasa Gallego, Verònica",GO,,108,864,,,Vocals suplents
| Assessor en I'aplicació del pla departamental,,,,"€68,746.49","€68,746.49","Arasanz Mayolas, Antoni",EN,2013,,,,,Assessor en I'aplicació del pla departamental
| Cap de l’Oficina de Comunicació,,,,"€60,243.06","€60,243.06","Arbolí Padrosa, Carlos",PO,2014,,,,,Cap de l’Oficina de Comunicació
| Director general de Formació Professional Inicial i Ensenyaments de Règim Especial,,,,"€76,270.34","€76,270.34","Arcarons Rua, Melcior",EN,2013,,,,,Director general de Formació Professional Inicial i Ensenyaments de Règim Especial
Consell Escolar Catalunya Ple i Comissions | Membre,8,43.27,€346.16,,€346.16,"Ardanuy Mata, Gerard",EN,,43.27,346.16,,,Membre
"Infraestructures de la Generalitat de Catalunya, SAU, Consell d’Administració | Vocal",12,627.45,"€7,529.40",,"€7,529.40","Arderiu Munill, Georgina",EC,,627.45,7529.4,,,Vocal
"Institut Català de Finances, Junta de Govern | Vocal",11,540.9,"€5,949.90",,"€5,949.90","Arderiu Munill, Georgina",EC,,540.9,5949.9,,,Vocal
Entitat Autònoma de Jocs i Apostes (EAJA). Consell d’Administració | Membre del consell,12,540,"€6,480.00",,"€6,480.00","Arderiu Munill, Georgina",EC,,540,6480,,,Membre del consell
| Secretària d'Hisenda,,,,"€79,651.66","€79,651.66","Arderiu Munill, Georgina",EC,2014,,,,,Secretària d'Hisenda
Consell Rector Escola d'Administració Pública de Catalunya | Vocal,2,94.66,€189.32,,€189.32,"Areces Pinol, Maria Teresa",GO,,94.66,189.32,,,Vocal
Consell d'Administració del Centre d'lnserció i Rehabiıitacıó (cıRE) | Vocal,2,378,€756.00,,€756.00,"Aregio Navarro, Joan",JU,,378,756,,,Vocal
Institut Català de la Salut Consell d'Administració,5,378,"€1,890.00",,"€1,890.00","Aregio Navarro, Joan",SA,,378,1890,,,
Institut Català d'Energia (ICAEN)  | Vocal representant Consell d'Administracio (Secretari d'Ocupacio i Relacions Laborals EMO),5,251.52,"€1,257.60",,"€1,257.60","Aregio Navarro, Joan",IU,,251.52,1257.6,,,Vocal representant Consell d'Administracio (Secretari d'Ocupacio i Relacions Laborals EMO)
| Secretari de Relacions Laborals,,,,"€79,651.63","€79,651.63","Aregio Navarro, Joan",IU,2014,,,,,Secretari de Relacions Laborals
Junta de Govern de la Institució de les Lletres Catalanes | Vocal en repr. del Consell Assessor de la ILC,6,59.5,€357.00,,€357.00,"Arenas Noguera, Carme",CU,,59.5,357,,,Vocal en repr. del Consell Assessor de la ILC
Consell Assessor de la Institució de les Lletres Catalanes | Vocal en repr. del PEN català,2,59.5,€119.00,,€119.00,"Arenas Noguera, Carme",CU,,59.5,119,,,Vocal en repr. del PEN català
Consell de Direcció de l’Agència de Residus de Catalunya | Vocal (Representant de la Unióde Pagesos),3,346.18,"€1,038.54",,"€1,038.54","Aresté Bas, Antoni",PO,,346.18,1038.54,,,Vocal (Representant de la Unióde Pagesos)
Comissió Territorial d’Urbanisme de l’Àmbit Metropolità de Barcelona | Vocal Alcalde de Cervelló,8,64.91,€519.28,,€519.28,"Arévalo Bravo, Jesús",PO,64.91,No autoritza publicació,519.28,,,Vocal Alcalde de Cervelló
Comissió de Govern local de Catalunya | Vocals,8,48.68,€389.44,,€389.44,"Arévalo Bravo, Jesús",GO,,48.68,389.44,,,Vocals
Comissió de Cooperació Local de Catalunya | Vocals titulars Adm. Locals,3,37.86,€113.58,,€113.58,"Arévalo Bravo, Jesús",GO,,37.86,113.58,,,Vocals titulars Adm. Locals
"Institut Català de Finances, Consell Assessor | Vocal",2,270,€540.00,,€540.00,"Argandoña Ramiz, Antoni",EC,,270,540,,,Vocal
Parc Sanitari Pere Virgili Consell d'Administració,6,198,"€1,188.00",,"€1,188.00","Argimon Pallàs, Josep Maria",SA,OJO 2013,198,1188,,,
Autoritat Catalana de Protecció de dades - Consell Assessor | Vocal,4,64.91,€259.64,,€259.64,"Argimon Pallàs, Josep Maria",GO,,64.91€,259.64,,,Vocal
Agència de Qualitat i Avaluació Sanitàries de Catalunya Consell ďAdministració | Vocal,5,0,€0.00,,€0.00,"Argimon Pallàs, Josep Maria",SA,189.31,renúncia,0,,,Vocal
"Agència per a la Qualitat del Sistema Universitari de Catalunya (AQU), Consell de Direcció | Membre del consell",3,144.89,€434.67,,€434.67,"Argullol Murgadas, Enric",EC,,Pendent d’autorització,434.67,,,Membre del consell
Consell Rector Escola d'Administració Pública de Catalunya | Vocal,2,94.66,€189.32,,€189.32,"Argullol Murgadas, Enric",GO,,Pendent autorització,189.32,,,Vocal
Comissió de Govern local de Catalunya | Vocals,8,48.68,€389.44,,€389.44,"Arisa Coma, Miquel",GO,,48.68,389.44,,,Vocals
Comissió de Cooperació Local de Catalunya | Vocals titulars Adm. Locals,3,37.86,€113.58,,€113.58,"Arisa Coma, Miquel",GO,,37.86,113.58,,,Vocals titulars Adm. Locals
Comissió de Política Territorial i Urbanisme de Catalunya | Vocal Responsable d’Actuacions Estratègiques de la Direcció General d’Ordenació del Territori i Urbanisme del Departament de Territori i Sostenibilitat,4,64.91,€259.64,,€259.64,"Armengol Tatjé, Josep",PO,,64.91,259.64,,,Vocal Responsable d’Actuacions Estratègiques de la Direcció General d’Ordenació del Territori i Urbanisme del Departament de Territori i Sostenibilitat
"Comissió Territorial d’Urbanisme de la Catalunya Central. Ponència Tècnica | Vocal de lliure designació,  amb veu i sense vot Responsable d’Actuacions Estratègiques de la Direcció General d’Ordenació del Territori i Urbanisme del Departament de Territori i Sostenibilitat",8,64.91,€519.28,,€519.28,"Armengol Tatjé, Josep",PO,,64.91,519.28,,,"Vocal de lliure designació,  amb veu i sense vot Responsable d’Actuacions Estratègiques de la Direcció General d’Ordenació del Territori i Urbanisme del Departament de Territori i Sostenibilitat"
"Comissió Territorial d’Urbanisme de l’Àmbit Metropolità de Barcelona. Ponència Tècnica | Lliure designació, amb veu  i sense vot Responsable d’Actuacions Estratègiques de la Direcció General d’Ordenació del Territori i Urbanisme del Departament de Territori i Sostenibilitat",8,64.91,€519.28,,€519.28,"Armengol Tatjé, Josep",PO,,64.91,519.28,,,"Lliure designació, amb veu  i sense vot Responsable d’Actuacions Estratègiques de la Direcció General d’Ordenació del Territori i Urbanisme del Departament de Territori i Sostenibilitat"
"Comissió Territorial d’Urbanisme de Barcelona. Ponència Tècnica | Lliure designació, amb veu  i sense vot Responsable d’Actuacions Estratègiques de la Direcció General d’Ordenació del Territori i Urbanisme del Departament de Territori i Sostenibilitat",8,64.91,€519.28,,€519.28,"Armengol Tatjé, Josep",PO,,64.91,519.28,,,"Lliure designació, amb veu  i sense vot Responsable d’Actuacions Estratègiques de la Direcció General d’Ordenació del Territori i Urbanisme del Departament de Territori i Sostenibilitat"
Consell General Institut Català de les Empreses Culturals | Representant Ass. Cat. De Municipis i Comarques,2,162,€324.00,,€324.00,"Arnijas Tubert, Xavier",CU,,162,324,,,Representant Ass. Cat. De Municipis i Comarques
Entitat Autònoma de Jocs i Apostes (EAJA). Consell d’Administració | Vocal,12,540,"€6,480.00",,"€6,480.00","Artadi Vila, Elsa",EC,,540,6480,,,Vocal
| Directora general de Tributs i Joc,,,,"€76,270.38","€76,270.38","Artadi Vila, Elsa",EC,2014,,,,,Directora general de Tributs i Joc
Comissió Territorial d’Urbanisme de Terres de l’Ebre. Ponència Tècnica | Vocal Cap de l’Oficina de Medi Ambient de les Terres de l’Ebre dels Serveis Territorials del Departament de Territori i Sostenibilitat a les Terres de l’Ebre,5,64.91,€324.55,,€324.55,"Artigas Iraegui, Francisco Javier",PO,,64.91,324.55,,,Vocal Cap de l’Oficina de Medi Ambient de les Terres de l’Ebre dels Serveis Territorials del Departament de Territori i Sostenibilitat a les Terres de l’Ebre
Comissió Territorial d’Urbanisme de la Vall d’Aran. Ponència Tècnica | Vocal Associació Catalana de Municipis i Comarques,4,64.91,€259.64,,€259.64,"Artigas Masdeu, Jordi",PO,,64.91,259.64,,,Vocal Associació Catalana de Municipis i Comarques
| ASSESSOR/A DEL/DE LA VlCEPRESIDENT/A,,,,"€61,662.53","€61,662.53","Auladell Fontseca, Joan Josep",GO,2013,,,,,ASSESSOR/A DEL/DE LA VlCEPRESIDENT/A
Consell d’Administració del Servei Meteorològic de Catalunya | Vocal Director General de Protecció Civil del Departament d’Interior,2,216,€432.00,,€432.00,"Aurich Taberner, Jordi",PO,,216,432,,,Vocal Director General de Protecció Civil del Departament d’Interior
"Sistema d'Emergencies Mèdiques, SA",6,189.31,"€1,135.86",,"€1,135.86","Aurich Taberner, Jordi",SA,OJO 2013,189.31,1135.86,,,
Comissió de Política Territorial i Urbanisme de Catalunya | Vocal Director General de Protecció Civil del Departament d’Interior,4,64.91,€259.64,,€259.64,"Aurich Taberner, Jordi",PO,,64.91,259.64,,,Vocal Director General de Protecció Civil del Departament d’Interior
Comissió Territorial d’Urbanisme de l’Àmbit Metropolità de Barcelona | Vocal Director General de Protecció Civil del Departament d’Interior,8,64.91,€519.28,,€519.28,"Aurich Taberner, Jordi",PO,,64.91,519.28,,,Vocal Director General de Protecció Civil del Departament d’Interior
Comissió de Cooperació Local de Catalunya | Vocals titulars Generalitat,3,37.86,€113.58,,€113.58,"Aurich Taberner, Jordi",GO,,37.86,113.58,,,Vocals titulars Generalitat
| Director General de Protecció Civil,,,,"€76,270.38","€76,270.38","Aurich Taberner, Jordi",IT,2013,,,,,Director General de Protecció Civil
Patronat ESMUC  | Patró,2,120,€240.00,,€240.00,"Aviñoa Pérez, Xosé",EN,,120,240,,,Patró
Junta Arbitral del Transport de Catalunya. Girona | Vocal Representant de les empreses de transport,18,64.91,"€1,168.38",,"€1,168.38","Ayach Costa, Pere",PO,,64.91,1168.38,,,Vocal Representant de les empreses de transport
Consell General Institut Català de les Empreses Culturals | Representant d'entitats del sector de la premsa,2,162,€324.00,,€324.00,"Ayats Aljarilla, Carles",CU,,162,324,,,Representant d'entitats del sector de la premsa
Junta Arbitral del Transport de Catalunya. Tarragona | Vocal Representant de les empreses de transport,20,64.91,"€1,298.20",,"€1,298.20","Aymat Satué, Josep Lluís",PO,,64.91,1298.2,,,Vocal Representant de les empreses de transport
Consell Escolar Catalunya Ple i Comissions | Membre,17,43.27,€735.59,,€735.59,"Aymerich Balagueró, Ricard",EN,,43.27,735.59,,,Membre
Jurat Expropiació Barcelona | Vocals titulars,28,108,"€3,024.00",,"€3,024.00","Bages Ferré, Joan Francesc",GO,,108,3024,,,Vocals titulars
"Infraestructures de la Generalitat de Catalunya, SAU, Consell d’Administració | Vocal",12,627.45,"€7,529.40",,"€7,529.40","Baiget Cantons, Jordi",EC,,627.45,7529.4,,,Vocal
Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat (CTTI) | Vıcepresident 3r Consell d'Administració (Titular de la Secretaría de Govern),11,573.3,"€6,306.30",,"€6,306.30","Baiget Cantons, Jordi",IU,,573.3,6306.3,,,Vıcepresident 3r Consell d'Administració (Titular de la Secretaría de Govern)
"Institut Català de Finances, Junta de Govern | Vocal",11,540.9,"€5,949.90",,"€5,949.90","Baiget Cantons, Jordi",EC,,540.9,5949.9,,,Vocal
Consell Administració EADOP | President,12,378.64,"€4,543.68",,"€4,543.68","Baiget Cantons, Jordi",PR,,378.64,4543.68,,,President
| Secretari/aria Del Govern,,,,"€102,907.20","€102,907.20","Baiget Cantons, Jordi",PR,2014,,,,,Secretari/aria Del Govern
Consell d’Administració de l’Autoritat del Transport Metropolità (ATM) | Vocal (Director de Serveis del Departament de Benestar Social i Família),5,325.8,"€1,629.00",,"€1,629.00","Baiget Cantons, Xavier",PO,,325.8,1629,,,Vocal (Director de Serveis del Departament de Benestar Social i Família)
Comissió de Política Territorial i Urbanisme de Catalunya | Vocal Director de Serveis del Departament de Benestar i Família,4,64.91,€259.64,,€259.64,"Baiget Cantons, Xavier",PO,,64.91,259.64,,,Vocal Director de Serveis del Departament de Benestar i Família
| Director general,,,,"€76,270.38","€76,270.38","Baiget Cantons, Xavier",BE,2013,,,,,Director general
Jurat Expr. Terres de l'Ebre | Vocals suplents,8,108,€864.00,,€864.00,"Baixaulí Alonso, Juan Fr.",GO,,Pendent autorització,864,,,Vocals suplents
| Directora Executiva,,,,"€76,270.38","€76,270.38","Balada Cardona, Núria",BE,2013,,,,,Directora Executiva
Junta de Finances  | Presidenta (Sala 1 i Ple),24,180,"€4,320.00",,"€4,320.00","Balada Oliveras, Maria",EC,,180,4320,,,Presidenta (Sala 1 i Ple)
Consell Rector de l’Institut per al Desenvolupament de les Comarques de l’Ebre (IDECE) | Vocal (Representant del Consell Comarcal del Montsià),2,63.11,€126.22,,€126.22,"Balagué Raga, Nuria",PO,,63.11,126.22,,,Vocal (Representant del Consell Comarcal del Montsià)
Comissió Mixta Departament d'Ensenyament i entitats municipalistes | Membre,6,43.27,€259.62,,€259.62,"Balasch, Antoni",EN,OJO 2013,43.27,259.62,,,Membre
| Oficina de la Secretaria del Conseller,,,,"€49,535.87","€49,535.87","Baldoma Ramirez, Erika",AG,2013,,,,,Oficina de la Secretaria del Conseller
Consell Escolar Catalunya Ple i Comissions | Membre,8,43.27,€346.16,,€346.16,"Baldrich Roselló, Jordi",EN,,43.27,346.16,,,Membre
Consell Assessor de Ports de la Generalitat | Vocal (Representant de la Cambra de Comerç de Tortosa),3,167.68,€503.04,,€503.04,"Balfegó Laboria, Manuel",PO,,167.68,503.04,,,Vocal (Representant de la Cambra de Comerç de Tortosa)
Comissió Territorial d’Urbanisme de Girona | Vocal Director dels Serveis Territorials del Departament d’Interior a Girona,8,64.91,€519.28,,€519.28,"Ballesta Tura, Albert",PO,,64.91,519.28,,,Vocal Director dels Serveis Territorials del Departament d’Interior a Girona
Consell Rector del Centre d'Estudis Jurídics i Formació Especialitzada (CEJFE) | Vocal,3,189.32,€567.96,,€567.96,"Ballesté Orpinell, Josep",JU,,189.32,567.96,,,Vocal
Comissió de Política Territorial i Urbanisme de Catalunya | Vocal Alcaldessa de l’Ajuntament de la Sénia,4,64.91,€259.64,,€259.64,"Ballester Ferreres, M. Pilar",PO,,64.91,259.64,,,Vocal Alcaldessa de l’Ajuntament de la Sénia
